Models,level-1 success rate,level-2 success rate,avg success rate,Toilet,Knife,Fridge,Microwave,Laptop,Phone,Seat,LampOff,LampOn,Book,Umbrella,Grill,Bin,avg task std,USB,Lid,Plate,Ball,Scoop,Rope,Oven,Buzz,Plants,Charger,avg task std
X-ICM (copied from X-ICM table 2),28.6 (1.9),16.9 (1.3),23.5 (1.6),1.3,26.7,22.7,45.3,33.3,57.3,48,58.7,50.7,1.3,0,8,18.7,N/A,98.7,20,6.7,9.3,0,6.7,16,2.7,5.3,4,N/A
X-ICM - rvt1 复现根据官方代码提供的checkpoint,27.5 (0.63),17.9 (1),23.3 (0.6),1.3,37.3,28,33.3,33.3,25.3,52,64,57.3,0,1.3,5.3,18.7,4.2,93.3,33.3,1.3,0,0,13.3,26.7,2.7,1.3,6.7,3.2
X-ICM - rvt1 随机ICL-复现根据官方代码提供的checkpoint,32.3 (1.15),14.7 (0.7),24.64 (0.9),0,36,0,64,38.7,30.7,44,90.7,84,0,1.3,18.7,12,4,100,16,0,5.3,0,13.3,4,2.7,5.3,0,1.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3M (copied from X-ICM table 2),12.3 (1.4),6.3 (0.9),9.7 (0.6),0,0,37.3,22.7,25.3,1.3,62.7,6.7,4,0,0,0,0,N/A,48,0,0,0,0,0,8,2.7,2.7,1.3,N/A
"R3M - rvt1 (由于实验设置不明,所以根据X-ICM training dataset 训练了18个任务,每个任务200个demo轨迹) - 复现结果",8.62 (0.25),5.47 (0.82),7.25 (0.22),0,5.3,18.7,20,4,0,62.7,0,0,0,1.3,0,0,1.64,46.7,2.7,0,0,0,0,0,4,1.3,0,1.2
"R3M - rvt1 - 官方代码提供的checkpoint复现 (rvt官方训练集18个任务,每个任务100个轨迹)",13.32 (1.76),6.8 (0.65),10.44 (0.88),0,2.7,37.3,26.7,26.7,1.3,68,5.3,4,0,0,0,0,2.75,53.3,0,1.3,0,0,0,1.3,4,5.3,2.7,1.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R3M - rvt2 适配 rvt2 bs3 lr2.5e-5 (rvt官方训练集18个任务,每个任务100个轨迹)",12.92 (0.66),11.2 (0.86),12.17 (0.65),0,0,34.7,21.3,32,0,73.3,0,0,0,0,6.7,0,1.12,92,0,0,0,0,0,6.7,6.7,6.7,0,1.08
"R3M - rvt2 适配 rvt2 bs6 lr1.25e-5(rvt官方训练集18个任务,每个任务100个轨迹)",12.62 (0.25),11.73 (0.5),12.23 (0.36),0,1.3,29.3,32,13.3,0,73.3,1.3,1.3,1.3,0,10.7,0,2.31,100,0,0,0,0,0,6.7,9.3,0,1.3,0.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3M-Align (copied from X-ICM table 2),12.9 (0.7),11.2 (0.7),12.2 (0.3),0,4,49.3,25.3,21.3,0,49.3,0,5.3,0,0,1.3,1.3,N/A,90.7,0,1.3,0,0,0,2.7,13.3,4,0,N/A
"R3M-Align - rvt1 - 官方代码提供的checkpoint复现 (rvt官方训练集18个任务,每个任务100个轨迹)",12.1 (0.58),10.27 (0.19),11.3 (0.25),0,1.3,56,28,21.3,1.3,46.7,0,1.3,0,0,1.3,0,2.52,90.7,0,0,0,0,0,2.7,8,0,1.3,0.89
"R3M-Align - rvt1 - (X-ICM官方训练集18个任务,每个任务200个轨迹,但只取前100个)",10.87 (0.77),5.47 (0.50),8.52 (0.65),0,4,40,33.3,16,0,45.3,0,0,1.3,0,1.3,0,2.38,46.7,1.3,0,0,0,0,2.7,0,5.3,0,1.06
